ID	adj.P.Val	P.Value	Gene.symbol	Gene.title
5345	1.91e-53	1.13e-54	NPC2	NPC intracellular cholesterol transporter 2
11702	1.92e-53	1.13e-54	CD44	CD44 molecule (Indian blood group)
15143	1.94e-53	1.15e-54	USP4	ubiquitin specific peptidase 4
8745	1.98e-53	1.17e-54	ASXL2	additional sex combs like 2, transcriptional regulator
32044	2.00e-53	1.18e-54	HIST1H3A	histone cluster 1, H3a
11146	2.03e-53	1.20e-54	EXOC1	exocyst complex component 1
10635	2.03e-53	1.20e-54	FRYL	FRY like transcription coactivator
13288	2.03e-53	1.20e-54	UBE2V1	ubiquitin conjugating enzyme E2 V1
20914	2.04e-53	1.21e-54	OARD1	O-acyl-ADP-ribose deacylase 1
26554	2.11e-53	1.25e-54	CDC42	cell division cycle 42
31885	2.13e-53	1.26e-54	CHURC1	churchill domain containing 1
31270	2.14e-53	1.27e-54	SUCLG1	succinate-CoA ligase alpha subunit
32571	2.15e-53	1.28e-54		
922	2.17e-53	1.29e-54	TRIM29	tripartite motif containing 29
2092	2.18e-53	1.30e-54	UBE2L3	ubiquitin conjugating enzyme E2 L3
10406	2.18e-53	1.30e-54		
29233	2.19e-53	1.30e-54		
8705	2.20e-53	1.31e-54	C12orf10	chromosome 12 open reading frame 10
12592	2.20e-53	1.31e-54	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1-like 2
6318	2.21e-53	1.32e-54	C12orf65	chromosome 12 open reading frame 65
30908	2.23e-53	1.33e-54	TYK2	tyrosine kinase 2
31347	2.26e-53	1.35e-54	FAM193A	family with sequence similarity 193 member A
7433	2.27e-53	1.36e-54	CCNI	cyclin I
24049	2.28e-53	1.36e-54	PEA15	phosphoprotein enriched in astrocytes 15
5440	2.30e-53	1.38e-54	NBPF3	neuroblastoma breakpoint family member 3
42315	2.32e-53	1.39e-54	PTGES3	prostaglandin E synthase 3
20222	2.32e-53	1.39e-54	GGNBP2	gametogenetin binding protein 2
32561	2.32e-53	1.39e-54	GNL3	G protein nucleolar 3
16097	2.39e-53	1.43e-54	BLMH	bleomycin hydrolase
7581	2.39e-53	1.43e-54	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic
23056	2.39e-53	1.43e-54	HDAC1	histone deacetylase 1
2857	2.41e-53	1.45e-54	MTA1	metastasis associated 1
2803	2.42e-53	1.46e-54		
14890	2.45e-53	1.47e-54	ETFB	electron transfer flavoprotein beta subunit
17621	2.46e-53	1.48e-54	AK2	adenylate kinase 2
39083	2.46e-53	1.48e-54	SMC6	structural maintenance of chromosomes 6
41653	2.52e-53	1.52e-54	GLTP	glycolipid transfer protein
23932	2.55e-53	1.54e-54	C18orf21	chromosome 18 open reading frame 21
39080	2.56e-53	1.54e-54	PTP4A2	protein tyrosine phosphatase type IVA, member 2
21428	2.56e-53	1.54e-54	CDPF1	cysteine rich DPF motif domain containing 1
23733	2.56e-53	1.55e-54	EMC3	ER membrane protein complex subunit 3
27154	2.58e-53	1.56e-54	DNAJC27	DnaJ heat shock protein family (Hsp40) member C27
3194	2.61e-53	1.58e-54	MRPL47	mitochondrial ribosomal protein L47
13291	2.63e-53	1.59e-54	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
14836	2.64e-53	1.60e-54	SKIV2L2	Ski2 like RNA helicase 2
2799	2.65e-53	1.61e-54	RPS10	ribosomal protein S10
40658	2.67e-53	1.62e-54	EEF1G	eukaryotic translation elongation factor 1 gamma
35659	2.68e-53	1.62e-54	ETFB	electron transfer flavoprotein beta subunit
40933	2.69e-53	1.63e-54	SSR2	signal sequence receptor subunit 2
1045	2.69e-53	1.64e-54	LARP7	La ribonucleoprotein domain family member 7
17539	2.71e-53	1.65e-54		
34928	2.71e-53	1.65e-54	RNMT	RNA guanine-7 methyltransferase
3439	2.72e-53	1.66e-54	LAD1	ladinin 1
9115	2.75e-53	1.68e-54	PSMC2	proteasome 26S subunit, ATPase 2
11633	2.78e-53	1.69e-54		
24810	2.79e-53	1.70e-54	RHOA	ras homolog family member A
41922	2.79e-53	1.70e-54	TXNDC17	thioredoxin domain containing 17
22045	2.80e-53	1.71e-54	SRF	serum response factor
4207	2.80e-53	1.71e-54	ZNF598	zinc finger protein 598
10683	2.80e-53	1.71e-54	AMPD2	adenosine monophosphate deaminase 2
12894	2.82e-53	1.73e-54	COG1	component of oligomeric golgi complex 1
1808	2.85e-53	1.74e-54		
19359	2.89e-53	1.77e-54	DAZAP1	DAZ associated protein 1
27375	2.89e-53	1.77e-54	HAX1	HCLS1 associated protein X-1
28505	2.90e-53	1.78e-54	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2
4092	2.94e-53	1.80e-54	ASB7	ankyrin repeat and SOCS box containing 7
32195	2.95e-53	1.81e-54	C12orf57	chromosome 12 open reading frame 57
958	2.97e-53	1.82e-54	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
18301	2.99e-53	1.84e-54	PYGO2	pygopus family PHD finger 2
40898	3.00e-53	1.84e-54		
29013	3.02e-53	1.86e-54	LDHA	lactate dehydrogenase A
32744	3.05e-53	1.87e-54	ECHS1	enoyl-CoA hydratase, short chain 1
43920	3.11e-53	1.91e-54	NUDT22	nudix hydrolase 22
17304	3.15e-53	1.94e-54	FAM21C	family with sequence similarity 21 member C
36024	3.16e-53	1.95e-54	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
34306	3.16e-53	1.95e-54	EIF4A1	eukaryotic translation initiation factor 4A1
42137	3.18e-53	1.96e-54	NELFE	negative elongation factor complex member E
26897	3.18e-53	1.97e-54	KLF13	Kruppel like factor 13
26594	3.18e-53	1.97e-54	ABCF1	ATP binding cassette subfamily F member 1
41696	3.19e-53	1.97e-54	LNPEP	leucyl and cystinyl aminopeptidase
33127	3.19e-53	1.97e-54	FDX1L	ferredoxin 1 like
24064	3.19e-53	1.98e-54	EIF3G	eukaryotic translation initiation factor 3 subunit G
36064	3.21e-53	1.99e-54	ANKHD1	ankyrin repeat and KH domain containing 1
26356	3.26e-53	2.02e-54	TSTD2	thiosulfate sulfurtransferase like domain containing 2
43347	3.26e-53	2.02e-54	ITGA2	integrin subunit alpha 2
29473	3.30e-53	2.05e-54	GALT	galactose-1-phosphate uridylyltransferase
36702	3.31e-53	2.06e-54	CDC42	cell division cycle 42
29022	3.36e-53	2.09e-54	CISD2	CDGSH iron sulfur domain 2
18248	3.36e-53	2.09e-54	SLU7	SLU7 homolog, splicing factor
40230	3.46e-53	2.15e-54	SNX2	sorting nexin 2
29887	3.46e-53	2.16e-54	C5orf45	chromosome 5 open reading frame 45
23117	3.48e-53	2.17e-54	TRIM26	tripartite motif containing 26
4284	3.50e-53	2.18e-54		
3652	3.52e-53	2.20e-54	NF1	neurofibromin 1
26798	3.54e-53	2.21e-54	SEMA4C	semaphorin 4C
44131	3.58e-53	2.23e-54	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
35883	3.65e-53	2.28e-54	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12
25368	3.66e-53	2.29e-54	CFDP1	craniofacial development protein 1
36851	3.68e-53	2.30e-54	ZNF706	zinc finger protein 706
8826	3.70e-53	2.32e-54	GGNBP2	gametogenetin binding protein 2
30319	3.75e-53	2.35e-54	HMBS	hydroxymethylbilane synthase
31900	3.75e-53	2.35e-54		
20158	3.76e-53	2.36e-54	SARNP	SAP domain containing ribonucleoprotein
32331	3.84e-53	2.41e-54	HMBS	hydroxymethylbilane synthase
8116	3.84e-53	2.41e-54	PEX14	peroxisomal biogenesis factor 14
23006	3.85e-53	2.42e-54	NABP2	nucleic acid binding protein 2
18093	3.87e-53	2.43e-54	MORF4L1	mortality factor 4 like 1
21734	3.88e-53	2.44e-54	MARCH9	membrane associated ring-CH-type finger 9
1318	3.88e-53	2.44e-54	MFN2	mitofusin 2
30672	3.94e-53	2.48e-54	RPS3	ribosomal protein S3
2412	3.98e-53	2.50e-54	UBXN4	UBX domain protein 4
39796	4.00e-53	2.52e-54	NRDC	nardilysin convertase
31708	4.00e-53	2.52e-54	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase
17712	4.03e-53	2.54e-54	BIRC2	baculoviral IAP repeat containing 2
38536	4.05e-53	2.55e-54	TXN	thioredoxin
9985	4.06e-53	2.56e-54		
5062	4.11e-53	2.60e-54	MAGT1	magnesium transporter 1
38274	4.12e-53	2.61e-54	GPX1	glutathione peroxidase 1
26556	4.18e-53	2.64e-54	BACE2	beta-site APP-cleaving enzyme 2
34348	4.22e-53	2.67e-54	CTSB	cathepsin B
23051	4.25e-53	2.69e-54	TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog
27122	4.30e-53	2.73e-54	HMGN2	high mobility group nucleosomal binding domain 2
41359	4.31e-53	2.73e-54	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2
36313	4.32e-53	2.74e-54	SNRPF	small nuclear ribonucleoprotein polypeptide F
13861	4.37e-53	2.77e-54	SPOP	speckle type BTB/POZ protein
11433	4.39e-53	2.79e-54		
13699	4.40e-53	2.80e-54	GLRX5	glutaredoxin 5
24355	4.41e-53	2.80e-54	FARSB	phenylalanyl-tRNA synthetase beta subunit
3774	4.44e-53	2.83e-54	PPIA	peptidylprolyl isomerase A
41586	4.44e-53	2.83e-54	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog
36168	4.45e-53	2.83e-54	NOL7	nucleolar protein 7
5864	4.48e-53	2.86e-54		
42120	4.56e-53	2.91e-54	UBXN1	UBX domain protein 1
24086	4.57e-53	2.91e-54	PPIA	peptidylprolyl isomerase A
34490	4.60e-53	2.93e-54	NOP16	NOP16 nucleolar protein
4608	4.61e-53	2.95e-54	RPSA	ribosomal protein SA
29160	4.64e-53	2.97e-54	ETFB	electron transfer flavoprotein beta subunit
20929	4.66e-53	2.98e-54	MAP2K4	mitogen-activated protein kinase kinase 4
10338	4.66e-53	2.98e-54	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
41461	4.67e-53	2.99e-54	ARHGAP32	Rho GTPase activating protein 32
6192	4.67e-53	2.99e-54	ZNF195	zinc finger protein 195
21574	4.67e-53	2.99e-54	THAP4	THAP domain containing 4
21881	4.69e-53	3.01e-54	MED8	mediator complex subunit 8
6410	4.69e-53	3.01e-54	NBPF9	neuroblastoma breakpoint family member 9
5195	4.74e-53	3.04e-54	SEPHS1	selenophosphate synthetase 1
38953	4.74e-53	3.05e-54	CDH1	cadherin 1
27011	4.75e-53	3.06e-54	ZNF385A	zinc finger protein 385A
34016	4.76e-53	3.06e-54	REXO2	RNA exonuclease 2
20197	4.76e-53	3.06e-54	VPS72	vacuolar protein sorting 72 homolog
35233	4.76e-53	3.07e-54	PTPN11	protein tyrosine phosphatase, non-receptor type 11
2740	4.79e-53	3.08e-54		
42766	4.81e-53	3.10e-54	MED1	mediator complex subunit 1
31926	4.82e-53	3.11e-54	NBPF19	neuroblastoma breakpoint family member 19
29408	4.83e-53	3.11e-54	POP4	POP4 homolog, ribonuclease P/MRP subunit
22036	4.85e-53	3.13e-54	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase
4732	4.86e-53	3.14e-54	DTNBP1	dystrobrevin binding protein 1
5304	4.86e-53	3.14e-54	ERP44	endoplasmic reticulum protein 44
16638	4.92e-53	3.18e-54	PDHX	pyruvate dehydrogenase complex component X
20036	5.00e-53	3.23e-54	ITGB1	integrin subunit beta 1
12839	5.01e-53	3.24e-54	TOR1AIP1	torsin 1A interacting protein 1
40816	5.14e-53	3.33e-54	ALDOA	aldolase, fructose-bisphosphate A
41260	5.16e-53	3.35e-54	PPIAL4A	peptidylprolyl isomerase A like 4A
25529	5.16e-53	3.35e-54	PSME1	proteasome activator subunit 1
35917	5.17e-53	3.36e-54	MAT2A	methionine adenosyltransferase 2A
15698	5.19e-53	3.37e-54	SHARPIN	SHANK associated RH domain interactor
10306	5.22e-53	3.39e-54	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit
36526	5.23e-53	3.40e-54	PNKD	paroxysmal nonkinesigenic dyskinesia
29624	5.23e-53	3.40e-54	MCM3AP	minichromosome maintenance complex component 3 associated protein
43460	5.24e-53	3.41e-54	TSC22D4	TSC22 domain family member 4
10989	5.24e-53	3.41e-54	MTOR	mechanistic target of rapamycin
14263	5.29e-53	3.44e-54	RHOA	ras homolog family member A
13735	5.33e-53	3.47e-54	GMPR2	guanosine monophosphate reductase 2
35008	5.37e-53	3.50e-54	SMAD2	SMAD family member 2
3268	5.44e-53	3.55e-54	DAD1	defender against cell death 1
16281	5.48e-53	3.58e-54	ROMO1	reactive oxygen species modulator 1
15763	5.49e-53	3.59e-54	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)
30095	5.55e-53	3.63e-54	NPRL2	NPR2-like, GATOR1 complex subunit
43488	5.55e-53	3.63e-54	KIAA0586	KIAA0586
40040	5.57e-53	3.65e-54	HSPB1	heat shock protein family B (small) member 1
26999	5.60e-53	3.67e-54	GPR107	G protein-coupled receptor 107
10931	5.67e-53	3.72e-54	HNRNPM	heterogeneous nuclear ribonucleoprotein M
6626	5.68e-53	3.72e-54	C12orf4	chromosome 12 open reading frame 4
34960	5.78e-53	3.79e-54	SUB1	SUB1 homolog, transcriptional regulator
27356	5.79e-53	3.80e-54	APLP1	amyloid beta precursor like protein 1
31264	5.84e-53	3.84e-54	PTGES3	prostaglandin E synthase 3
17678	5.86e-53	3.85e-54	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
28774	5.86e-53	3.85e-54	SERPINB6	serpin family B member 6
7017	5.88e-53	3.87e-54	TUBA3D	tubulin alpha 3d
27123	5.95e-53	3.91e-54	RGPD6	RANBP2-like and GRIP domain containing 6
43194	5.98e-53	3.94e-54	L3MBTL2	L3MBTL2 polycomb repressive complex 1 subunit
27845	5.98e-53	3.94e-54		
4283	6.07e-53	4.00e-54	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated
9201	6.07e-53	4.01e-54	NUP205	nucleoporin 205
41543	6.08e-53	4.01e-54	HDAC1	histone deacetylase 1
43675	6.10e-53	4.03e-54		
16521	6.18e-53	4.08e-54	TOMM40	translocase of outer mitochondrial membrane 40
18283	6.26e-53	4.14e-54	MRPL57	mitochondrial ribosomal protein L57
17110	6.26e-53	4.14e-54	ADGRG1	adhesion G protein-coupled receptor G1
43866	6.26e-53	4.15e-54	COX8A	cytochrome c oxidase subunit 8A
10147	6.30e-53	4.17e-54	ZNF337	zinc finger protein 337
30875	6.33e-53	4.19e-54	ARPC1A	actin related protein 2/3 complex subunit 1A
3533	6.33e-53	4.19e-54	VCPIP1	valosin containing protein interacting protein 1
33530	6.34e-53	4.20e-54	HPS6	HPS6, biogenesis of lysosomal organelles complex 2 subunit 3
2093	6.39e-53	4.24e-54	CEBPZ	CCAAT/enhancer binding protein zeta
39499	6.40e-53	4.25e-54	GTF3A	general transcription factor IIIA
24659	6.52e-53	4.33e-54	TIMM13	translocase of inner mitochondrial membrane 13
18535	6.62e-53	4.40e-54		
13337	6.64e-53	4.41e-54	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13
15056	6.65e-53	4.42e-54	HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46
15241	6.85e-53	4.56e-54	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
19310	6.86e-53	4.57e-54	CCNL1	cyclin L1
18462	6.89e-53	4.59e-54	SKA2	spindle and kinetochore associated complex subunit 2
29028	6.98e-53	4.65e-54	PPP1CC	protein phosphatase 1 catalytic subunit gamma
37934	6.98e-53	4.65e-54	PHAX	phosphorylated adaptor for RNA export
12080	6.98e-53	4.66e-54	RHOA	ras homolog family member A
40918	6.99e-53	4.67e-54	NOP10	NOP10 ribonucleoprotein
8404	7.06e-53	4.72e-54	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
41049	7.11e-53	4.75e-54		
36610	7.21e-53	4.82e-54		
37699	7.33e-53	4.91e-54	RHOA	ras homolog family member A
16673	7.33e-53	4.91e-54	ACTR2	ARP2 actin related protein 2 homolog
19464	7.36e-53	4.93e-54		
4003	7.46e-53	5.00e-54	NELFE	negative elongation factor complex member E
11674	7.51e-53	5.04e-54	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit
36434	7.61e-53	5.11e-54	RPL9	ribosomal protein L9
7580	7.61e-53	5.11e-54	GOT1	glutamic-oxaloacetic transaminase 1
18089	7.71e-53	5.18e-54	LUC7L3	LUC7 like 3 pre-mRNA splicing factor
31127	7.80e-53	5.24e-54		
45028	7.89e-53	5.30e-54	SSBP1	single stranded DNA binding protein 1
28423	7.90e-53	5.32e-54		
44046	7.92e-53	5.33e-54	NUDT9	nudix hydrolase 9
39516	7.92e-53	5.33e-54	HDAC1	histone deacetylase 1
23866	7.99e-53	5.38e-54	MOB1A	MOB kinase activator 1A
32838	8.02e-53	5.41e-54	MYH9	myosin, heavy chain 9, non-muscle
33216	8.02e-53	5.41e-54	VIMP	VCP interacting membrane selenoprotein
21435	8.03e-53	5.42e-54	F12	coagulation factor XII
9307	8.16e-53	5.51e-54	PPP1R8	protein phosphatase 1 regulatory subunit 8
31069	8.18e-53	5.53e-54	ACTR3	ARP3 actin related protein 3 homolog
32256	8.20e-53	5.55e-54	PABPC1	poly(A) binding protein cytoplasmic 1
21258	8.28e-53	5.60e-54	ZNF438	zinc finger protein 438
35531	8.32e-53	5.63e-54	RPL7A	ribosomal protein L7a
5035	8.47e-53	5.74e-54	SDF4	stromal cell derived factor 4
37941	8.58e-53	5.81e-54	KDM3B	lysine demethylase 3B
34222	8.59e-53	5.83e-54	RPL34	ribosomal protein L34
37321	8.67e-53	5.88e-54	ACTG1	actin gamma 1
19244	8.77e-53	5.95e-54		
12804	8.79e-53	5.97e-54	MRPL32	mitochondrial ribosomal protein L32
13216	8.81e-53	5.99e-54	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
44903	8.81e-53	5.99e-54	TMED10	transmembrane p24 trafficking protein 10
7614	8.91e-53	6.06e-54	SLC37A3	solute carrier family 37 member 3
28054	8.96e-53	6.10e-54	C8orf33	chromosome 8 open reading frame 33
22520	9.07e-53	6.18e-54	ZNF195	zinc finger protein 195
39419	9.17e-53	6.25e-54	PDCD6IP	programmed cell death 6 interacting protein
15337	9.35e-53	6.38e-54	ANAPC5	anaphase promoting complex subunit 5
44735	9.45e-53	6.45e-54	RIPK4	receptor interacting serine/threonine kinase 4
17254	9.48e-53	6.47e-54	PHIP	pleckstrin homology domain interacting protein
34865	9.59e-53	6.55e-54	PLEKHJ1	pleckstrin homology domain containing J1
42247	9.67e-53	6.61e-54	PSMD5	proteasome 26S subunit, non-ATPase 5
28198	9.69e-53	6.62e-54	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12
19277	9.69e-53	6.63e-54	PTGES3	prostaglandin E synthase 3
11538	9.73e-53	6.66e-54	RPS3A	ribosomal protein S3A
40738	9.73e-53	6.66e-54	SAP18	Sin3A associated protein 18
10849	9.74e-53	6.67e-54		
40925	9.74e-53	6.67e-54	CDC42BPB	CDC42 binding protein kinase beta
11594	9.76e-53	6.70e-54	RPTOR	regulatory associated protein of MTOR complex 1
33618	9.79e-53	6.72e-54	YIPF2	Yip1 domain family member 2
12647	9.79e-53	6.72e-54	CNOT4	CCR4-NOT transcription complex subunit 4
24380	9.81e-53	6.74e-54	RHOA	ras homolog family member A
7727	9.82e-53	6.75e-54		
22318	9.85e-53	6.77e-54	SEC31A	SEC31 homolog A, COPII coat complex component
36825	9.87e-53	6.79e-54	PTPN11	protein tyrosine phosphatase, non-receptor type 11
19268	9.87e-53	6.80e-54	RNF26	ring finger protein 26
3967	1.00e-52	6.90e-54		
12390	1.02e-52	7.04e-54	AHCY	adenosylhomocysteinase
14513	1.03e-52	7.08e-54	SIN3A	SIN3 transcription regulator family member A
14621	1.05e-52	7.26e-54	PAM16	presequence translocase associated motor 16 homolog
36698	1.05e-52	7.26e-54	PTPN23	protein tyrosine phosphatase, non-receptor type 23
24426	1.06e-52	7.29e-54	KLF5	Kruppel like factor 5
21716	1.06e-52	7.35e-54		
26330	1.07e-52	7.36e-54	FBL	fibrillarin
36398	1.07e-52	7.42e-54	ETFB	electron transfer flavoprotein beta subunit
38319	1.09e-52	7.53e-54	RNF113A	ring finger protein 113A
24543	1.10e-52	7.61e-54		
43212	1.11e-52	7.70e-54	COG6	component of oligomeric golgi complex 6
15666	1.11e-52	7.70e-54	LBHD1	LBH domain containing 1
24479	1.12e-52	7.79e-54	HDAC1	histone deacetylase 1
38828	1.12e-52	7.80e-54	MAP3K2	mitogen-activated protein kinase kinase kinase 2
1369	1.13e-52	7.85e-54	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit
14765	1.14e-52	7.95e-54	TMCO6	transmembrane and coiled-coil domains 6
18591	1.14e-52	7.95e-54	HDAC4	histone deacetylase 4
24306	1.15e-52	8.02e-54	ATP6V0D1	ATPase H+ transporting V0 subunit d1
14317	1.16e-52	8.04e-54	PPIA	peptidylprolyl isomerase A
11867	1.16e-52	8.05e-54	GSK3B	glycogen synthase kinase 3 beta
39230	1.16e-52	8.06e-54	TAF12	TATA-box binding protein associated factor 12
9169	1.16e-52	8.09e-54		
1155	1.16e-52	8.11e-54	OSBPL2	oxysterol binding protein like 2
43503	1.16e-52	8.12e-54		
32819	1.16e-52	8.12e-54	CDKN1A	cyclin dependent kinase inhibitor 1A
30306	1.18e-52	8.22e-54	POLD4	DNA polymerase delta 4, accessory subunit
23510	1.18e-52	8.22e-54	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
4865	1.18e-52	8.26e-54	SNTA1	syntrophin alpha 1
25440	1.19e-52	8.29e-54	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
32249	1.19e-52	8.31e-54	CCDC47	coiled-coil domain containing 47
25895	1.21e-52	8.45e-54	RPUSD4	RNA pseudouridylate synthase domain containing 4
23328	1.21e-52	8.46e-54	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1
6892	1.21e-52	8.50e-54		
13467	1.21e-52	8.51e-54	CRIPT	CXXC repeat containing interactor of PDZ3 domain
2903	1.22e-52	8.53e-54	CNOT6L	CCR4-NOT transcription complex subunit 6 like
23010	1.22e-52	8.58e-54	CYP51A1	cytochrome P450 family 51 subfamily A member 1
27498	1.23e-52	8.66e-54	NCBP1	nuclear cap binding protein subunit 1
17540	1.24e-52	8.69e-54	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1
6707	1.25e-52	8.76e-54	ZNF317	zinc finger protein 317
20741	1.25e-52	8.77e-54	MRPS15	mitochondrial ribosomal protein S15
5002	1.25e-52	8.80e-54	ZNF106	zinc finger protein 106
7690	1.26e-52	8.85e-54	SH3BGRL3	SH3 domain binding glutamate rich protein like 3
41765	1.27e-52	8.93e-54	RTN3	reticulon 3
14829	1.27e-52	8.97e-54	HMBS	hydroxymethylbilane synthase
17865	1.27e-52	8.97e-54	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12
31175	1.28e-52	9.00e-54	PCM1	pericentriolar material 1
6419	1.29e-52	9.11e-54	LAT	linker for activation of T-cells
36401	1.30e-52	9.17e-54	JMJD1C	jumonji domain containing 1C
29668	1.30e-52	9.18e-54		
28598	1.30e-52	9.19e-54	TRIM44	tripartite motif containing 44
42296	1.30e-52	9.20e-54	HDAC1	histone deacetylase 1
23384	1.30e-52	9.21e-54		
31673	1.31e-52	9.29e-54		
16935	1.33e-52	9.42e-54	LTA4H	leukotriene A4 hydrolase
27259	1.34e-52	9.47e-54	PPIA	peptidylprolyl isomerase A
8445	1.34e-52	9.48e-54	SNTB2	syntrophin beta 2
27212	1.34e-52	9.51e-54		
8597	1.35e-52	9.55e-54	ACBD3	acyl-CoA binding domain containing 3
6333	1.36e-52	9.64e-54	SLC2A5	solute carrier family 2 member 5
5739	1.37e-52	9.71e-54	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
16036	1.37e-52	9.73e-54	RAB11A	RAB11A, member RAS oncogene family
32768	1.37e-52	9.77e-54	MYO5B	myosin VB
14538	1.37e-52	9.78e-54	RGS10	regulator of G-protein signaling 10
11176	1.42e-52	1.01e-53		
36493	1.42e-52	1.01e-53	SND1	staphylococcal nuclease and tudor domain containing 1
28194	1.44e-52	1.02e-53	YBX1	Y-box binding protein 1
16936	1.44e-52	1.03e-53	TTC3P1	tetratricopeptide repeat domain 3 pseudogene 1
4061	1.44e-52	1.03e-53	CCHCR1	coiled-coil alpha-helical rod protein 1
16430	1.47e-52	1.05e-53	MRPL30	mitochondrial ribosomal protein L30
39205	1.47e-52	1.05e-53	RCN2	reticulocalbin 2
22340	1.48e-52	1.06e-53	EIF5	eukaryotic translation initiation factor 5
13324	1.49e-52	1.06e-53	KRTAP1-3	keratin associated protein 1-3
32142	1.49e-52	1.07e-53		
26913	1.50e-52	1.07e-53	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon
42678	1.50e-52	1.08e-53	POMT1	protein O-mannosyltransferase 1
27558	1.52e-52	1.09e-53	PSPH	phosphoserine phosphatase
44839	1.52e-52	1.09e-53		
891	1.53e-52	1.10e-53	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
5606	1.53e-52	1.10e-53	HMBS	hydroxymethylbilane synthase
8908	1.53e-52	1.10e-53	HSPB1	heat shock protein family B (small) member 1
27567	1.55e-52	1.11e-53	PPIA	peptidylprolyl isomerase A
14375	1.55e-52	1.11e-53	HDAC1	histone deacetylase 1
20827	1.56e-52	1.12e-53	RFXANK	regulatory factor X associated ankyrin containing protein
33220	1.56e-52	1.12e-53	DCUN1D5	defective in cullin neddylation 1 domain containing 5
15617	1.56e-52	1.13e-53	RHOA	ras homolog family member A
23540	1.57e-52	1.13e-53	TET2	tet methylcytosine dioxygenase 2
30449	1.58e-52	1.14e-53		
20876	1.58e-52	1.14e-53		
17987	1.59e-52	1.15e-53		
38570	1.59e-52	1.15e-53	NSUN5P2	NOP2/Sun RNA methyltransferase family member 5 pseudogene 2
11614	1.59e-52	1.15e-53	PTRH2	peptidyl-tRNA hydrolase 2
24615	1.60e-52	1.15e-53	FASTKD3	FAST kinase domains 3
15923	1.60e-52	1.16e-53	KDELR1	KDEL endoplasmic reticulum protein retention receptor 1
3451	1.60e-52	1.16e-53	IDS	iduronate 2-sulfatase
43186	1.61e-52	1.16e-53	ORMDL2	ORMDL sphingolipid biosynthesis regulator 2
11290	1.62e-52	1.17e-53	SRP54	signal recognition particle 54
35306	1.62e-52	1.17e-53		
26960	1.62e-52	1.17e-53	KLHDC3	kelch domain containing 3
28951	1.63e-52	1.18e-53	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
22806	1.64e-52	1.19e-53	UTP20	UTP20, small subunit processome component
8995	1.64e-52	1.19e-53	LDHA	lactate dehydrogenase A
6820	1.64e-52	1.19e-53	EEF1G	eukaryotic translation elongation factor 1 gamma
30354	1.70e-52	1.24e-53	ANKHD1	ankyrin repeat and KH domain containing 1
23995	1.71e-52	1.25e-53	TUBB4B	tubulin beta 4B class IVb
30979	1.74e-52	1.26e-53	NKTR	natural killer cell triggering receptor
34719	1.75e-52	1.28e-53	NSD1	nuclear receptor binding SET domain protein 1
11968	1.76e-52	1.28e-53	INTS9	integrator complex subunit 9
25217	1.76e-52	1.28e-53	HSPH1	heat shock protein family H (Hsp110) member 1
9947	1.76e-52	1.29e-53	ENHO	energy homeostasis associated
16330	1.79e-52	1.30e-53	ZNF226	zinc finger protein 226
20732	1.79e-52	1.31e-53	TBK1	TANK binding kinase 1
